flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,cluster_label
-0.03501961,-0.17812768,0.80068314,0.121953726,-0.03160493,0.0051587345,0.020394662,-0.29432565,-0.46971527,-0.34481782,-0.3008691,-0.3709585,-0.000118551776,-0.0070257913,-0.3055387,-0.5126182,-0.21434706,-0.104872525,-0.09633914,-0.22599833,-0.2299271,-0.022334933,-0.010631252,-0.02338091,-0.013179307,-0.026236586,-1.1305118,1.8222837,0.019382812,-0.013616929,-0.42014843,-0.008706212,0.049876194,-0.28297904,-0.32846892,-0.23534355,-0.30231023,-0.12583312,-0.30443797,0.00065631047,0.009342924,-0.39326647,-0.10384482,-0.08023662,0.80330575,-0.009828149,2
-0.037869617,-0.15739885,0.8663866,-0.12785651,-0.05080901,-0.018432962,0.007317364,-0.2918447,-0.48979536,-0.34239638,-0.30803156,-0.3717681,0.0028479267,1.2397766e-05,-0.32813144,-0.53786206,-0.2699884,-0.09073251,-0.11624633,-0.22953337,-0.24948776,-0.011213525,-0.0037724497,-0.0071282964,-0.017500687,-0.009176727,-1.2071844,1.9735806,0.017354878,-0.009061683,-0.44099462,-0.0016040318,0.041548736,-0.3094064,-0.34276262,-0.24536079,-0.3197052,-0.18832734,-0.30858785,0.006038796,0.003963247,-0.41159898,-0.17369187,-0.08125241,-0.45433134,0.0042286124,11
-0.03606411,-0.19616991,-0.36040536,-0.13094398,-0.1006458,-0.07209116,0.004906291,-0.2801877,-0.4332943,-0.32414454,-0.30059236,-0.37068325,-0.015939511,-0.0044717863,-0.3291514,-0.5054632,-0.30554673,-0.0931779,-0.1203133,-0.24122109,-0.25870538,-0.012039659,0.008528278,-0.0060854554,-0.028759103,0.01269594,0.87448514,-0.5210077,0.008356532,-0.021167891,-0.4422379,0.010949682,0.012917941,-0.27556324,-0.29268587,-0.24571864,-0.27506292,-0.23217677,-0.30257326,-0.01536239,-0.0112702595,-0.3189245,-0.20543897,-0.08489984,-0.39967626,-0.009876529,2
-0.016433036,-0.18824106,-0.33575684,-0.14987361,-0.11615254,-0.06280038,0.018841006,-0.2772532,1.9602089,-0.33286834,-0.30883437,-0.39396918,-0.016777644,-0.0017561801,-0.31108284,1.0211059,-0.30237663,-0.11021052,-0.106465444,-0.2313733,-0.25978255,-0.017312855,0.005934271,-0.022885092,-0.018254854,0.0051658507,0.8827665,-0.5535336,0.020813808,-0.025538674,-0.4439379,0.0055406317,0.017368857,-0.27531898,-0.28133917,-0.2727328,-0.27466974,-0.19804761,-0.3006068,-0.013899061,-0.013636288,-0.35410565,-0.2264178,-0.07111773,-0.4324661,-0.013458875,13
-0.033341657,-0.20447737,-0.34496075,-0.14785345,-0.1062851,-0.06422047,-0.0005733408,-0.27882323,-0.44769955,-0.32375595,-0.31260538,-0.37025747,-0.013503097,-0.013272205,-0.33457157,-0.52228606,-0.29173794,-0.0966707,-0.12897475,-0.23853016,-0.23924336,-0.008305265,0.006938222,-0.004768692,-0.026112003,0.012388321,0.8894797,-0.52761984,0.0064237597,-0.027752012,-0.4612064,0.009643849,0.013570782,-0.26534188,-0.28943706,-0.2574423,-0.28863543,-0.23986289,-0.30182153,-0.020113794,-0.0062478147,-0.33119243,-0.21024966,-0.07988263,-0.3943966,-0.009015081,2
-0.03868585,-0.17823307,0.8498963,-0.010460652,-0.022118479,0.02082603,0.014387526,-0.2981885,-0.49354652,-0.34164315,-0.30235726,-0.3669007,0.006125031,-0.0007114783,-0.32806563,-0.5385866,-0.2577198,-0.10014217,-0.10985114,-0.22185236,-0.23531833,-0.017959684,-0.0054943888,-0.012711266,-0.012648551,-0.0156308,-1.1820115,1.9236515,0.016132027,-0.0075241067,-0.44448507,-0.0054879226,0.04868583,-0.3099044,-0.3447278,-0.2512582,-0.32003385,-0.16461694,-0.31743747,-0.0042991936,0.0067785457,-0.42529702,-0.14580123,-0.088843904,0.094060585,-0.004971152,2
-0.012340983,-0.1894559,-0.33764818,-0.14747976,-0.12107376,-0.056868028,0.020675443,-0.27792823,1.9602089,-0.3397004,-0.30759588,-0.39555097,-0.017819012,-0.0006081909,-0.3088941,1.0252229,-0.31079748,-0.111616775,-0.10497518,-0.22723308,-0.2711316,-0.02065187,0.0033056065,-0.024721742,-0.019564994,0.005346464,0.8880404,-0.55984336,0.02074942,-0.024427338,-0.44692656,0.005628839,0.015304759,-0.2750792,-0.28331333,-0.2798543,-0.27357775,-0.19797787,-0.30678624,-0.0145002175,-0.011866332,-0.35930052,-0.23477592,-0.07459313,-0.44046605,-0.015595436,13
-0.03749169,-0.18067175,0.8277827,-0.012205508,-0.024496526,0.014565185,0.018220011,-0.2953632,-0.47785348,-0.34197426,-0.29961756,-0.36953118,0.0011433885,-0.0032589287,-0.31978485,-0.5219284,-0.24227595,-0.10211018,-0.10512507,-0.22369596,-0.23380068,-0.021204766,-0.008355116,-0.016441228,-0.013071072,-0.019569537,-1.145839,1.8595661,0.019194953,-0.010809066,-0.4346162,-0.005706627,0.04880135,-0.2961994,-0.34123892,-0.24208827,-0.31381613,-0.14949201,-0.30736417,-0.0018066298,0.0070812926,-0.40728924,-0.12623833,-0.08080304,0.37925285,-0.00694455,9
-0.035647348,-0.1935682,-0.35905582,-0.13601366,-0.102769814,-0.07099961,0.0025815107,-0.28284994,-0.45031947,-0.32016745,-0.3015257,-0.3698122,-0.015576627,-0.0054409876,-0.32894528,-0.5045613,-0.29664412,-0.093070015,-0.12106417,-0.24070346,-0.25164467,-0.011218372,0.008241548,-0.004558392,-0.027122004,0.012266433,0.8624552,-0.51740843,0.009927353,-0.022040583,-0.43728364,0.012990134,0.014731683,-0.27557522,-0.28818056,-0.24838111,-0.2713151,-0.22888735,-0.29892725,-0.01575645,-0.011140512,-0.32058161,-0.20091558,-0.080512375,-0.4015625,-0.009061549,2
-0.035449456,-0.17096198,0.84567493,-0.13867554,-0.032091036,0.011099985,0.013989781,-0.29271293,-0.47642046,-0.3393877,-0.29460025,-0.36331567,0.006218381,0.0033194125,-0.332739,-0.5406563,-0.2594357,-0.09282347,-0.11373529,-0.22667861,-0.2365225,-0.014925088,-0.0039743464,-0.006886892,-0.014516514,-0.012339311,-1.1702945,1.9276075,0.017699342,-0.007803049,-0.43989244,-0.007290866,0.04264162,-0.30811447,-0.3550169,-0.24433081,-0.31569576,-0.1799108,-0.3107749,0.0017457996,0.005922634,-0.43195742,-0.1684549,-0.08281541,-0.4833321,0.004366001,11
-0.038016412,-0.16127324,0.84831303,-0.14617714,-0.036872566,-0.00032684486,0.009222422,-0.29188833,-0.47780964,-0.34069222,-0.30007026,-0.36678177,0.0042068865,0.0010245778,-0.32813436,-0.5347508,-0.2646608,-0.09034474,-0.11510518,-0.22573505,-0.24364233,-0.013777217,-0.003788047,-0.007644631,-0.015887147,-0.010305978,-1.1780779,1.9339354,0.017404709,-0.008318165,-0.43921822,-0.0014298372,0.041763388,-0.3059184,-0.3394682,-0.24445567,-0.31554696,-0.1889546,-0.3063344,0.0053034723,0.0046759453,-0.41059136,-0.1739082,-0.08243294,-0.4718675,0.0044563245,11
-0.013958968,-0.18471906,-0.31003505,-0.14509386,-0.13132516,-0.06468892,0.01667048,-0.27147257,1.9603373,-0.32026312,-0.30076706,-0.3784945,-0.01020035,-0.008411035,-0.31154948,2.0287237,-0.28671053,-0.1111339,-0.10736197,-0.23756176,-0.27141914,-0.009929541,0.006655208,-0.01857526,-0.029977977,0.009603061,0.8657503,-0.54272586,0.02678857,-0.032844484,-0.44027185,-0.0010236055,0.024676511,-0.26571772,-0.26949215,-0.27031386,-0.27008283,-0.19982216,-0.27361277,-0.017635433,-0.017268922,-0.3627162,-0.22110617,-0.073988065,-0.39924455,-0.012235245,8
-0.039835334,-0.17018607,0.85699266,-0.1276155,-0.011250224,0.033962213,0.013047135,-0.29640472,-0.4838011,-0.34494436,-0.29360315,-0.36518666,0.0077311713,0.004724264,-0.33466488,-0.54464424,-0.2611972,-0.09303793,-0.11502138,-0.22755888,-0.23745397,-0.016909096,-0.0032501249,-0.006447546,-0.014284589,-0.012261605,-1.1853312,1.9460322,0.01778134,-0.007428717,-0.4454085,-0.0076241754,0.042606626,-0.307612,-0.35569355,-0.24618514,-0.31809783,-0.18125501,-0.31088316,9.6250325e-05,0.007455595,-0.4372416,-0.16967186,-0.08589517,-0.4848677,0.0040553343,11
-0.011677148,-0.1878652,-0.33203977,-0.1401819,-0.10757475,-0.05836239,0.022910846,-0.2738881,1.9550138,-0.3226384,-0.30917728,-0.39040604,-0.017521642,-0.00072440505,-0.30952886,0.986609,-0.30811238,-0.11252718,-0.09774691,-0.22271413,-0.25932515,-0.023192555,0.0025210883,-0.026033688,-0.017509848,0.0060827266,0.8598093,-0.54579663,0.02114813,-0.021268379,-0.43778807,0.006957207,0.016802594,-0.27534443,-0.2729751,-0.27390414,-0.2670413,-0.19162302,-0.30562648,-0.0149927,-0.014460999,-0.34296274,-0.2284278,-0.07360548,-0.4228031,-0.016061883,13
-0.030908609,-0.14904702,0.8932084,-0.100035995,-0.064786516,-0.032991584,0.008930292,-0.29099324,-0.508196,-0.34785736,-0.31306428,-0.37982923,0.004076952,0.0003793575,-0.32248014,-0.54520714,-0.28267,-0.08874954,-0.11946903,-0.23189253,-0.2509743,-0.015982218,-0.0044944305,-0.0053614117,-0.017657107,-0.009502,-1.2316052,2.0148096,0.0125148855,-0.012646895,-0.4463808,0.0024129786,0.03936259,-0.3161556,-0.35028157,-0.2548324,-0.3226925,-0.18104625,-0.31872964,0.0056559183,0.0026618093,-0.4154294,-0.17096983,-0.08144011,-0.43979776,-0.003082499,11
-0.034061577,-0.19479883,-0.3716433,-0.109808266,-0.09983653,-0.061145853,0.0021160915,-0.28206,-0.4652243,-0.32310224,-0.30382597,-0.37329972,-0.019123662,-0.007516874,-0.3298925,-0.49482638,-0.29911867,-0.095961936,-0.116977006,-0.24208418,-0.2580088,-0.014009658,0.0074658087,-0.0071434136,-0.036710408,0.01516168,0.869084,-0.53070486,0.015669063,-0.02533047,-0.43863806,0.009955224,0.017730948,-0.2835597,-0.2960174,-0.24077432,-0.27937973,-0.22031288,-0.30277956,-0.01402911,-0.010194124,-0.33512342,-0.19740176,-0.07721493,-0.088168114,-0.011871333,3
-0.03490921,-0.17131028,0.86540973,-0.14853355,-0.040726677,-1.5439466e-05,0.011816153,-0.29832268,-0.4861268,-0.3435163,-0.29970008,-0.37022412,0.0064725615,0.0033828802,-0.3358029,-0.547994,-0.26595902,-0.09218209,-0.11558737,-0.2284115,-0.24264789,-0.014334289,-0.0038003102,-0.006224312,-0.015504658,-0.011676099,-1.1994863,1.9742334,0.018432572,-0.007624129,-0.44315138,-0.007771522,0.043091763,-0.3128315,-0.35839024,-0.24814838,-0.32098857,-0.1829293,-0.31389934,0.004278172,0.006308997,-0.4353875,-0.17268096,-0.0832854,-0.49147427,0.0053520408,11
-0.006044198,-0.19866455,-0.3420209,-0.10401841,-0.10160366,-0.056069303,0.029171862,-0.2755894,2.017062,-0.31555068,-0.3209446,-0.3864702,-0.02377766,0.00023645908,-0.30983406,1.0253127,-0.32411247,-0.123848096,-0.08886336,-0.22672388,-0.26606208,-0.027652163,0.001109994,-0.035256114,-0.026283972,0.009193273,0.86297154,-0.57293034,0.029321097,-0.020217791,-0.43320236,0.0005565733,0.024613366,-0.28836548,-0.2718203,-0.27634048,-0.26664618,-0.17023689,-0.30841202,-0.0132242255,-0.015236218,-0.35392708,-0.23082909,-0.08287436,0.2296438,-0.017906075,6
-0.01911222,-0.1848216,-0.32492983,-0.15027064,-0.12366679,-0.05964886,0.012457868,-0.27217284,1.9048465,-0.33945838,-0.30112863,-0.38366386,-0.017766947,-0.0053953286,-0.30182704,1.0359961,-0.2943995,-0.1112547,-0.10998604,-0.23586255,-0.25858173,-0.011968182,0.0064049223,-0.023436729,-0.018379709,0.0048525855,0.87008476,-0.5373613,0.022056837,-0.028725356,-0.4428148,0.0046156533,0.017336102,-0.2675987,-0.27878398,-0.2713461,-0.26703557,-0.19735464,-0.28856176,-0.013178218,-0.012364336,-0.35406682,-0.22318265,-0.071239874,-0.41936213,-0.011365037,13
-0.017354546,-0.1866,-0.31988335,-0.15000865,-0.13141055,-0.06461045,0.013244781,-0.2736096,1.9550767,-0.33141762,-0.30288693,-0.38489947,-0.014413727,-0.0071427245,-0.3086814,1.6056626,-0.29426593,-0.110935055,-0.10988848,-0.23948075,-0.2659271,-0.010217606,0.0068115136,-0.020203408,-0.024652611,0.007347176,0.8806309,-0.5482959,0.02392033,-0.031234633,-0.44358283,-0.00025532395,0.021115094,-0.2678321,-0.2779073,-0.27337697,-0.27108675,-0.19869906,-0.28016454,-0.0150270155,-0.015655095,-0.36412278,-0.2245453,-0.07308483,-0.41424066,-0.010154868,2
-0.018524026,-0.13800451,0.35730395,-0.09376584,-0.045233548,0.00055797957,0.006423302,-0.18515208,-0.30322644,-0.27052736,-0.24929261,-0.2749619,-0.011999834,-0.031622685,-0.2507192,-0.38722566,-0.17361888,-0.09378615,-0.08341356,-0.20376918,-0.22181869,-0.0011396764,-0.011751905,-0.020202795,-0.027512347,-2.6218593e-05,-0.41769016,0.88969433,0.0056116707,-0.02254266,-0.3952538,0.015076749,0.01797805,-0.19993973,-0.22142473,-0.14865625,-0.24968415,-0.1566476,-0.2433083,-0.0207568,0.0017281249,-0.24979454,-0.109944254,-0.04797195,-0.22686478,-0.02636871,2
-0.039016336,-0.20325202,-0.3645335,-0.12534091,-0.10744893,-0.06598516,0.0016089547,-0.289525,-0.49097538,-0.32744205,-0.32084385,-0.3774593,-0.017517298,-0.010079682,-0.34055835,-0.5164373,-0.30798325,-0.09655281,-0.12518014,-0.24148402,-0.24671277,-0.0068322048,0.0040793195,-0.008683255,-0.026865534,0.010925109,0.90090656,-0.5535187,0.015099667,-0.02819568,-0.45824757,0.00766325,0.01794938,-0.27804154,-0.30084005,-0.2548811,-0.296212,-0.22518879,-0.30113786,-0.016950347,-0.007656403,-0.3544503,-0.20619482,-0.08566963,-0.014350496,-0.0092506055,3
-0.021469362,-0.21175453,-0.32334167,-0.07101309,-0.10855716,-0.056317132,0.03878769,-0.2903381,2.020312,-0.305044,-0.33556414,-0.40435255,-0.016931323,-0.012387101,-0.29702646,1.0316586,-0.17377192,-0.1428937,-0.094045155,-0.25263485,-0.24685347,-0.011278341,0.003198443,-0.024126656,-0.010708021,0.012676703,0.8961457,-0.58784,0.021955412,-0.022089096,-0.41559476,-0.0023233518,0.014099744,-0.26780108,-0.271747,-0.27546018,-0.28977177,-0.17032048,-0.29546475,-0.025252137,-0.02735394,-0.32555488,-0.17515536,-0.064463764,0.51166314,-0.013175689,2
-0.022489423,-0.17957297,-0.2904363,-0.040845197,-0.11921565,-0.0839394,0.041585777,-0.2984419,1.9852127,-0.31129855,-0.3046829,-0.3907545,-0.011129861,-0.008284928,-0.28810987,1.888184,-0.17793614,-0.143603,-0.10232586,-0.26531607,-0.2553681,-0.006641935,0.01005225,-0.021540653,-0.022651168,0.0016039349,0.8720382,-0.55694085,0.027418982,-0.03384556,-0.41141737,0.0011532865,0.039254393,-0.28379273,-0.28216097,-0.2906998,-0.27070153,-0.1857083,-0.2796752,-0.010038029,-0.02293278,-0.318514,-0.16782989,-0.06538256,0.55698454,-0.009141842,2
